127.0.0.1 - - [29/Feb/2024:15:50:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Feb/2024:15:50:54 +0900] "GET /web-study-04_2/01_requestInfo.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [29/Feb/2024:15:51:10 +0900] "GET /web-study-04_2/01_requestInfo.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:26:39 +0900] "GET /web-study-04_2/04_loginForm.jsp HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:26:56 +0900] "POST /web-study-04_2/04_testLongin.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:27:42 +0900] "POST /web-study-04_2/04_testLongin.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:27:45 +0900] "POST /web-study-04_2/04_testLongin.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:27:47 +0900] "POST /web-study-04_2/04_testLongin.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:37:45 +0900] "GET /web-study-04_2/04_loginForm.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:37:48 +0900] "POST /web-study-04_2/04_testLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:37:48 +0900] "GET /web-study-04_2/04_main.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:38:18 +0900] "POST /web-study-04_2/04_testLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:38:19 +0900] "GET /web-study-04_2/04_loginForm.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:43:33 +0900] "GET /web-study-04_2/04_loginForm.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:43:38 +0900] "POST /web-study-04_2/04_testLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:43:38 +0900] "GET /web-study-04_2/04_main.jsp?name=korea HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:46:40 +0900] "POST /web-study-04_2/04_testLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:46:40 +0900] "GET /web-study-04_2/04_main.jsp?name=korea HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:47:49 +0900] "POST /web-study-04_2/04_testLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:47:53 +0900] "POST /web-study-04_2/04_testLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:50:44 +0900] "POST /web-study-04_2/04_testLogin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Feb/2024:16:50:44 +0900] "GET /web-study-04_2/04_main.jsp?name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [29/Feb/2024:17:27:59 +0900] "GET /web-study-04_2/02_researchForm.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [29/Feb/2024:17:28:12 +0900] "GET /web-study-04_2/02_researchForm.jsp HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [29/Feb/2024:17:35:52 +0900] "GET /web-study-04_2/02_researchForm.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [29/Feb/2024:17:36:02 +0900] "POST /web-study-04_2/02_research.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [29/Feb/2024:17:36:27 +0900] "POST /web-study-04_2/02_research.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [29/Feb/2024:17:36:29 +0900] "POST /web-study-04_2/02_research.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [29/Feb/2024:17:38:10 +0900] "GET /web-study-04_2/03_redirect.jsp HTTP/1.1" 302 -
